run_id,method_id,instance_id,scenario_id,seed,tier,manifest
C201__S2_peak_dirty__A1_NoSeed__seed13,A1_NoSeed,C201,S2_peak_dirty,13,small,configs\batches\manifest_A1_NoSeed.csv
C201__S2_peak_dirty__A1_NoSeed__seed14,A1_NoSeed,C201,S2_peak_dirty,14,small,configs\batches\manifest_A1_NoSeed.csv
C201__S2_peak_dirty__A1_NoSeed__seed15,A1_NoSeed,C201,S2_peak_dirty,15,small,configs\batches\manifest_A1_NoSeed.csv
C201__S2_peak_dirty__A1_NoSeed__seed16,A1_NoSeed,C201,S2_peak_dirty,16,small,configs\batches\manifest_A1_NoSeed.csv
C201__S2_peak_dirty__A1_NoSeed__seed17,A1_NoSeed,C201,S2_peak_dirty,17,small,configs\batches\manifest_A1_NoSeed.csv
C201__S2_peak_dirty__A1_NoSeed__seed18,A1_NoSeed,C201,S2_peak_dirty,18,small,configs\batches\manifest_A1_NoSeed.csv
C201__S2_peak_dirty__A1_NoSeed__seed19,A1_NoSeed,C201,S2_peak_dirty,19,small,configs\batches\manifest_A1_NoSeed.csv
C201__S2_peak_dirty__A1_NoSeed__seed20,A1_NoSeed,C201,S2_peak_dirty,20,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed01,A1_NoSeed,C201,S3_mixed_fleet_arc,1,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed02,A1_NoSeed,C201,S3_mixed_fleet_arc,2,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed03,A1_NoSeed,C201,S3_mixed_fleet_arc,3,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed04,A1_NoSeed,C201,S3_mixed_fleet_arc,4,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed05,A1_NoSeed,C201,S3_mixed_fleet_arc,5,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed06,A1_NoSeed,C201,S3_mixed_fleet_arc,6,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed07,A1_NoSeed,C201,S3_mixed_fleet_arc,7,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed08,A1_NoSeed,C201,S3_mixed_fleet_arc,8,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed09,A1_NoSeed,C201,S3_mixed_fleet_arc,9,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed10,A1_NoSeed,C201,S3_mixed_fleet_arc,10,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed11,A1_NoSeed,C201,S3_mixed_fleet_arc,11,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed12,A1_NoSeed,C201,S3_mixed_fleet_arc,12,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed13,A1_NoSeed,C201,S3_mixed_fleet_arc,13,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed14,A1_NoSeed,C201,S3_mixed_fleet_arc,14,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed15,A1_NoSeed,C201,S3_mixed_fleet_arc,15,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed16,A1_NoSeed,C201,S3_mixed_fleet_arc,16,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed17,A1_NoSeed,C201,S3_mixed_fleet_arc,17,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed18,A1_NoSeed,C201,S3_mixed_fleet_arc,18,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed19,A1_NoSeed,C201,S3_mixed_fleet_arc,19,small,configs\batches\manifest_A1_NoSeed.csv
C201__S3_mixed_fleet_arc__A1_NoSeed__seed20,A1_NoSeed,C201,S3_mixed_fleet_arc,20,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed01,A1_NoSeed,R201,S1_balanced,1,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed02,A1_NoSeed,R201,S1_balanced,2,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed03,A1_NoSeed,R201,S1_balanced,3,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed04,A1_NoSeed,R201,S1_balanced,4,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed05,A1_NoSeed,R201,S1_balanced,5,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed06,A1_NoSeed,R201,S1_balanced,6,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed07,A1_NoSeed,R201,S1_balanced,7,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed08,A1_NoSeed,R201,S1_balanced,8,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed09,A1_NoSeed,R201,S1_balanced,9,small,configs\batches\manifest_A1_NoSeed.csv
R201__S1_balanced__A1_NoSeed__seed10,A1_NoSeed,R201,S1_balanced,10,small,configs\batches\manifest_A1_NoSeed.csv
